"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2016","774.84","773.50","779.90","771.50","745.61M","0.38%"
"03/08/2016","776.83","772.84","781.44","771.58","840.03M","0.26%"
"03/09/2016","787.38","776.29","787.38","773.98","757.31M","1.36%"
"03/10/2016","790.25","788.56","796.74","785.05","948.05M","0.36%"
"03/11/2016","793.80","795.66","796.13","787.43","710.09M","0.45%"
"03/14/2016","801.11","792.03","801.15","791.80","716.49M","0.92%"
"03/15/2016","790.31","800.87","800.91","787.75","810.24M","-1.35%"
"03/16/2016","793.69","791.69","795.74","784.20","689.65M","0.43%"
"03/17/2016","813.77","804.77","813.89","803.96","885.84M","2.53%"
"03/18/2016","829.43","814.83","829.43","812.21","810.05M","1.92%"
"03/21/2016","834.03","827.76","835.24","824.37","839.80M","0.55%"
"03/22/2016","817.66","828.53","828.53","809.83","1.09B","-1.96%"
"03/23/2016","803.84","815.49","817.35","801.72","884.96M","-1.69%"
"03/24/2016","813.58","802.97","813.90","801.21","771.85M","1.21%"
"03/25/2016","813.56","814.23","817.53","812.90","319.06M","0.00%"
"03/28/2016","813.45","814.94","817.31","808.73","363.06M","-0.01%"
"03/29/2016","817.34","817.17","822.73","815.23","617.20M","0.48%"
"03/30/2016","829.18","823.75","830.41","822.99","711.13M","1.45%"
"03/31/2016","832.68","829.17","834.47","824.87","728.04M","0.42%"
"04/01/2016","823.59","829.87","830.55","819.32","658.90M","-1.09%"
"04/04/2016","838.73","827.63","838.73","826.00","758.56M","1.84%"
"04/05/2016","829.64","836.21","837.01","824.65","721.20M","-1.08%"
"04/06/2016","815.11","829.06","830.26","815.11","737.28M","-1.75%"
"04/07/2016","811.65","820.08","822.53","810.81","621.52M","-0.42%"
"04/08/2016","825.02","814.51","825.76","808.84","722.85M","1.65%"
"04/11/2016","839.88","826.31","841.01","823.01","873.48M","1.80%"
"04/12/2016","837.20","838.59","844.30","832.64","914.01M","-0.32%"
"04/13/2016","856.97","841.52","858.09","840.09","924.08M","2.36%"
"04/14/2016","857.85","857.50","862.54","853.40","956.17M","0.10%"
"04/15/2016","855.73","859.71","861.88","848.08","729.99M","-0.25%"
"04/18/2016","863.44","851.80","863.87","849.98","765.88M","0.90%"
"04/19/2016","862.51","866.07","866.93","858.07","726.86M","-0.11%"
"04/20/2016","855.50","860.09","869.31","852.72","987.96M","-0.81%"
"04/21/2016","856.71","859.37","864.50","851.18","664.81M","0.14%"
"04/22/2016","858.29","858.47","859.29","851.51","596.43M","0.18%"
"04/25/2016","851.09","855.73","858.51","849.84","584.49M","-0.84%"
"04/26/2016","857.56","853.47","859.38","850.43","702.27M","0.76%"
"04/27/2016","853.74","858.77","861.21","852.91","544.84M","-0.45%"
"04/28/2016","854.78","854.67","856.76","847.63","663.26M","0.12%"
"04/29/2016","853.28","855.25","856.64","848.38","525.51M","-0.18%"
"05/02/2016","838.30","852.42","852.69","838.12","462.87M","-1.76%"
"05/03/2016","810.70","841.33","842.90","808.85","866.87M","-3.29%"
"05/04/2016","793.83","810.01","810.40","790.70","936.92M","-2.08%"
"05/05/2016","786.99","777.13","799.08","775.20","1.05B","-0.86%"
"05/06/2016","783.68","787.25","788.01","772.09","958.97M","-0.42%"
"05/09/2016","790.62","790.32","797.37","788.79","610.08M","0.89%"
"05/10/2016","788.02","791.09","794.66","784.03","673.32M","-0.33%"
"05/11/2016","790.28","789.07","791.67","780.23","707.76M","0.29%"
"05/12/2016","783.04","790.79","795.70","782.46","664.62M","-0.92%"
"05/13/2016","778.08","779.36","785.97","775.86","602.91M","-0.63%"
"05/16/2016","770.00","779.60","782.01","767.01","480.37M","-1.04%"
"05/17/2016","772.77","774.46","777.65","764.50","637.61M","0.36%"
"05/18/2016","772.44","770.26","775.75","764.79","691.39M","-0.04%"
"05/20/2016","763.58","772.09","774.92","763.02","640.74M","-1.15%"
"05/23/2016","767.66","765.34","769.69","762.08","485.79M","0.53%"
"05/24/2016","794.35","765.26","795.05","764.60","967.14M","3.48%"
"05/25/2016","786.09","794.73","799.41","785.93","691.22M","-1.04%"
"05/26/2016","780.36","783.14","786.04","776.14","681.82M","-0.73%"
"05/27/2016","780.29","781.41","785.09","778.02","497.49M","-0.01%"
"05/30/2016","785.35","779.48","788.69","779.48","482.43M","0.65%"
"05/31/2016","778.03","789.52","791.06","778.03","612.65M","-0.93%"
"06/01/2016","770.35","779.12","780.43","770.22","586.55M","-0.99%"
"06/02/2016","762.72","772.71","774.45","762.34","450.95M","-0.99%"
"06/03/2016","781.39","765.49","784.84","764.86","569.67M","2.45%"
"06/06/2016","785.93","785.21","789.57","783.35","478.16M","0.58%"
"06/07/2016","781.58","789.68","794.20","780.24","644.56M","-0.55%"
"06/08/2016","788.33","783.64","790.63","777.22","633.89M","0.86%"
"06/09/2016","777.12","788.45","789.54","776.56","569.25M","-1.42%"
"06/10/2016","768.87","777.03","778.39","767.23","488.95M","-1.06%"
"06/13/2016","765.34","764.68","765.56","753.86","551.41M","-0.46%"
"06/14/2016","757.60","764.08","766.16","753.57","634.85M","-1.01%"
"06/15/2016","762.37","763.04","765.92","760.62","537.49M","0.63%"
"06/16/2016","746.72","758.70","760.89","746.72","442.92M","-2.05%"
"06/17/2016","754.31","753.47","757.91","749.14","561.02M","1.02%"
"06/20/2016","775.23","764.46","775.29","764.01","498.00M","2.77%"
"06/21/2016","775.31","775.59","780.61","773.18","582.24M","0.01%"
"06/22/2016","772.67","776.87","780.00","771.39","445.51M","-0.34%"
"06/23/2016","779.90","775.50","783.51","772.11","598.36M","0.94%"
"06/24/2016","753.66","740.74","755.29","740.17","672.21M","-3.36%"
"06/27/2016","751.61","754.58","759.08","748.82","741.29M","-0.27%"
"06/28/2016","769.29","758.55","770.93","758.55","611.51M","2.35%"
"06/29/2016","767.12","767.44","773.86","763.55","735.60M","-0.28%"
"06/30/2016","768.17","769.17","773.69","764.99","576.70M","0.14%"
"07/01/2016","779.52","771.78","779.52","771.78","427.27M","1.48%"
"07/04/2016","783.88","781.20","783.88","780.00","166.93M","0.56%"
"07/08/2016","780.19","781.85","783.47","776.50","468.43M","-0.47%"
"07/11/2016","792.35","786.26","792.91","786.26","543.50M","1.56%"
"07/12/2016","811.42","793.66","811.42","792.50","853.25M","2.41%"
"07/13/2016","813.22","812.17","816.39","809.17","721.96M","0.22%"
"07/14/2016","825.90","817.70","826.99","815.91","644.56M","1.56%"
